196, -1998, -875
233, -1998, -630
231, -1998, -526
235, -1998, -444
236, -1939, -455
237, -1745, -385
211, -1521, -302
192, -1263, -296
158, -1013, -337
111, -679, -368
57, -237, -369
12, 197, -265
-53, 522, -168
-103, 733, -95
-173, 941, -202
-168, 1007, -98
-168, 1007, -98
-123, 927, -51
-35, 892, -34
23, 858, -52
78, 749, -92
131, 675, -157
188, 585, -293
-,-,-
139, -1420, -758
240, -1700, -857
227, -1954, -904
226, -1998, -968
209, -1998, -1068
215, -1998, -1103
240, -1998, -1077
238, -1836, -1033
198, -1439, -899
150, -1017, -785
94, -760, -739
13, -582, -620
-18, -248, -491
-91, 84, -371
-168, 291, -206
-202, 396, -115
-218, 614, -82
-265, 789, -199
-265, 789, -199
-195, 804, 58
-148, 951, 110
-71, 1306, 250
-18, 1516, 188
73, 1471, 18
217, 1299, -19
366, 1016, -123
366, 1016, -251
-,-,-
154, -680, -510
137, -803, -515
145, -962, -564
189, -1102, -700
257, -1433, -949
328, -1915, -1072
351, -1998, -1106
367, -1998, -1068
385, -1998, -1055
376, -1998, -1025
359, -1897, -944
306, -1299, -932
238, -688, -880
155, -223, -732
50, 94, -724
-48, 291, -673
-114, 478, -520
-148, 648, -213
-174, 753, 25
-175, 792, 190
-175, 792, 190
-176, 843, 320
-157, 968, 442
-122, 1211, 485
-42, 1407, 336
82, 1370, 155
253, 1233, 106
-,-,-
192, -1078, -558
214, -1203, -626
216, -1417, -767
203, -1685, -841
199, -1924, -841
203, -1998, -933
220, -1998, -1040
294, -1998, -906
368, -1998, -707
416, -1998, -571
414, -1741, -610
375, -1202, -681
301, -724, -674
216, -389, -642
144, -141, -561
91, 12, -432
39, 196, -312
-1, 413, -191
-52, 641, -14
-52, 641, -14
-103, 1013, 129
-153, 1303, 251
-134, 1219, 403
-46, 1220, 413
18, 1264, 228
-,-,-
161, -1073, -349
180, -1079, -453
200, -1157, -595
244, -1367, -651
285, -1690, -772
285, -1690, -772
285, -1963, -1038
272, -1998, -788
226, -1998, -698
176, -1996, -747
181, -1827, -767
185, -1470, -681
190, -1057, -614
192, -709, -578
192, -709, -578
217, -402, -478
217, -42, -408
158, 310, -344
71, 529, -170
-27, 647, 119
-136, 938, 361
-228, 1400, 414
-277, 1708, 397
-198, 1660, 363
-198, 1660, 363
-22, 1360, 323
-,-,-
179, -1059, -624
236, -1304, -773
236, -1558, -984
254, -1708, -1061
250, -1914, -1047
237, -1998, -1006
226, -1987, -936
155, -1703, -998
122, -1703, -996
122, -1323, -996
154, -1053, -900
162, -844, -749
160, -608, -600
130, -285, -485
59, 21, -341
-32, 227, -221
-112, 384, -58
-199, 566, 111
-248, 675, 226
-266, 694, 293
-266, 694, 293
-246, 799, 481
-213, 961, 610
-129, 1164, 514
36, 1294, 416
239, 1171, 302
437, 781, 172
569, 365, 90
569, 365, 90
689, 40, -67
